Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
899;213934;2279;29428;0,5284815
906;214770;2850;61100;0,5548419
912;215092;3275;103622;0,7206839
913;215115;916;215365;0,6490215
928;216878;3969;199123;0,5325915
937;218699;1765;104416;0,570923
937;218699;3347;112672;0,5415871
937;218699;3742;163323;0,5513157
938;218753;4190;227953;0,514293
943;219935;1529;27210;0,513971
945;220033;4184;227049;0,518846
960;222689;961;222690;0,5512806
960;222689;3634;149071;0,5053334
961;222690;3634;149071;0,6354139
961;222690;4019;204221;0,6192508
966;223136;2292;29856;0,5134119
966;223136;2856;61776;0,566295
966;223136;3036;76759;0,6512348
966;223136;3630;148771;0,5193695
967;223674;1670;45174;0,591252
967;223674;2285;29604;0,6895008
967;223674;2618;43165;0,6884887
967;223674;2767;55455;0,5855411
967;223674;3072;81781;0,5744269
967;223674;3120;87536;0,7144749
967;223674;3211;97640;0,6166196
967;223674;3408;120554;0,6462659
967;223674;3640;149707;0,6382306
967;223674;3697;156202;0,5284768
968;223838;2863;62658;0,5047053
988;226841;3598;142831;0,5527682
990;226915;2827;58955;0,5081502
994;227339;4104;212933;0,5508576
1027;229483;4178;226367;0,5642536
1037;2416;2380;34677;0,5146593
1053;5917;3425;123124;0,5261672
1054;6039;1108;9195;0,6459836
1054;6039;1924;11423;0,5096739
1056;6147;1089;8658;0,5101119
1056;6147;1116;9332;0,6659076
1056;6147;1188;11977;0,5592368
1056;6147;1275;14820;0,6423808
1056;6147;1282;15401;0,5432573
1056;6147;1292;16130;0,5872117
1056;6147;1384;19843;0,5125875
1056;6147;1386;19861;0,6071884
1056;6147;1430;20943;0,5267132
1057;6861;1066;7536;0,5214246
1057;6861;2512;37725;0,5978312
1073;7879;1322;17520;0,5304479
1073;7879;1900;7880;0,5104187
1074;7898;1216;12561;0,6266152
1074;7898;1279;15106;0,6031332
1074;7898;1309;17007;0,6119685
1074;7898;1355;18842;0,5286451
1074;7898;1614;35329;0,5310816
1074;7898;1918;10501;0,5310671
1077;8264;1373;19433;0,6231897
1077;8264;2386;34996;0,5700293
1078;8290;1470;23515;0,502461
1088;8617;1458;22625;0,5907778
1089;8658;1116;9332;0,5749876
1098;9047;1384;19843;0,5097298
1102;9122;1103;9123;0,5189255
1102;9122;2256;27934;0,5643806
1106;9144;1375;19562;0,6106694
1114;9308;1386;19861;0,537805
1116;9332;1188;11977;0,6152064
1116;9332;1275;14820;0,5982623
1116;9332;1282;15401;0,5696405
1116;9332;1292;16130;0,5619189
1116;9332;1312;17127;0,5158805
1116;9332;1386;19861;0,573816
1116;9332;1430;20943;0,5425952
1127;9592;1159;11219;0,5228055
1127;9592;1467;23210;0,5055035
1137;9899;1198;12178;0,5623208
1140;10045;2717;51641;0,6178621
1140;10045;3061;79498;0,6527748
1140;10045;3105;85270;0,5835171
1140;10045;3434;124186;0,5486832
1152;10601;1277;14959;0,5093711
1152;10601;1283;15448;0,5827565
1154;10835;1778;118550;0,5401474
1155;11010;1499;26069;0,5132378
